schema_version,status,error,video_key,flicker_score,severity_band,route,confidence,worst_segment_start,worst_segment_end,illuminant_score,rolling_band_score,awb_score,horizontal_coherence,valid_fraction,processing_time_seconds,detector_version,completed_at
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/0529/GX010087.MP4,0.28683796525001526,none,accept,0.3473868211110433,0.0,2.168833333333333,0.0779755241631704,0.2393568323977785,0.49383387762272174,0.8778490519849202,0.75,5.857895335066132,0.2.0,2026-08-07T19:29:18+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/0529/GX010088.MP4,0.23061108589172363,none,accept,0.5972840627034506,0.0,1.5682333333333334,0.24340184519701655,0.26205413664200455,0.1437428347101059,0.8580218877092158,0.75,6.008876429055817,0.2.0,2026-08-07T19:29:19+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/0529/GX010089.MP4,0.22693553566932678,none,accept,0.6136198414696588,0.0,0.8341666666666666,0.20071656839752183,0.2837266006529631,0.08976634305382991,0.9090245360576205,0.7450173611111112,7.060468113049865,0.2.0,2026-08-07T19:29:20+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/0551/GX010070.MP4,0.3848639130592346,mild,review,0.0882840580410428,0.0,1.1011,0.34270990951707214,0.49675828389816806,0.1108001685492866,0.8837338765073119,0.7481076388888889,7.099782179924659,0.2.0,2026-08-07T19:29:20+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/0529/GX010086.MP4,0.2996177673339844,none,accept,0.29058770073784723,7.9109,10.9109,0.37177205266418517,0.22510964688284044,0.4644772028248035,0.858865228969217,0.75,9.497620164998807,0.2.0,2026-08-07T19:29:23+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/0529/GX010090.MP4,0.3597300350666046,none,accept,0.023422066370646123,5.575233333333333,8.575233333333333,0.38033358896891206,0.30445099450588936,0.49521409451772724,0.6568220303888522,0.72421875,9.760530545026995,0.2.0,2026-08-07T19:29:23+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/0551/GX010056.MP4,0.15459854900836945,none,accept,0.9351175599628025,5.341666666666667,8.341666666666667,0.24577184141720043,0.05244685988839832,0.38372359923628374,0.27261738794917495,0.75,9.706474932958372,0.2.0,2026-08-07T19:29:23+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/0532/GX010084.MP4,0.3246335983276367,none,accept,0.1794062296549479,0.0,3.0,0.24504888845372952,0.29274665496355895,0.43937358015544464,0.9429276460737691,0.75,11.70289383805357,0.2.0,2026-08-07T19:29:24+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/0551/GX010074.MP4,0.591749370098114,extreme,reject,0.0077749782138402,0.0,3.0,0.4848379375632487,0.6870344958399234,0.38677259542887577,0.95015999599921,0.75,7.600044940947555,0.2.0,2026-08-07T19:29:28+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/0551/GX010072.MP4,0.5103577971458435,mild,review,0.3539653460184732,22.392033333333334,25.392033333333334,0.42675871530142767,0.5363595797004779,0.4761928233706944,0.9638347498825658,0.75,9.83433620701544,0.2.0,2026-08-07T19:29:30+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/0551/GX010075.MP4,0.3351040184497833,none,accept,0.13287102911207407,0.0,3.0,0.32377979065132423,0.32680562862795287,0.36120947561415606,0.9085427390756821,0.75,6.907880312064663,0.2.0,2026-08-07T19:29:30+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/0551/GX010077.MP4,0.5591616034507751,mild,review,0.137059540218777,0.0,3.0,0.430451984043386,0.6326054180238888,0.419691480700662,0.9735092504049933,0.75,7.126807857071981,0.2.0,2026-08-07T19:29:31+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/0551/GX010076.MP4,0.5009132623672485,mild,review,0.39594105614556196,26.2292,29.2292,0.36244010855566655,0.4740243616810279,0.6262135948086781,0.8740181052084988,0.75,9.505925465025939,0.2.0,2026-08-07T19:29:33+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/0525/GX010073.MP4,0.45737266540527344,mild,review,0.4105451795789931,160.0,163.0,0.39327414616429424,0.4594472998737557,0.4776180058118673,0.9770704581767923,0.75,35.6676968280226,0.2.0,2026-08-07T19:29:48+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/0532/GX010083.MP4,0.43484407663345337,mild,review,0.31041811837090394,140.0,143.0,0.4045622852503917,0.41429163985043815,0.5003931561263275,0.9674960719336118,0.75,39.7981148539111,0.2.0,2026-08-07T19:29:53+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/C0524/GX010067.MP4,0.48244357109069824,mild,review,0.47802857293022993,40.0,43.0,0.379956753713712,0.44742942247002704,0.6144750700037188,0.7428952907913393,0.75,18.725828562048264,0.2.0,2026-08-07T19:30:12+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/0527/recording2_1.mp4,0.45683667063713074,mild,review,0.40816298060947004,120.0,123.0,0.23072604175674777,0.5132781438719284,0.4005330897490085,0.9145322806818504,0.75,62.990681960014626,0.2.0,2026-08-07T19:30:16+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/0550/GX010083.MP4,0.27872782945632935,none,accept,0.38343186908298066,60.0,63.0,0.40842478807205895,0.19942449264288808,0.4330376911620677,0.6958125259156956,0.75,74.38407702103723,0.2.0,2026-08-07T19:30:27+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/C0524/GX010069.MP4,0.35975342988967896,none,accept,0.023318089379204605,49.4524,52.4524,0.4688888525705586,0.2801940110323572,0.5229537166087322,0.6915252950518215,0.75,13.455027238000184,0.2.0,2026-08-07T19:30:29+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/C-0572/GX010059.MP4,0.5255498886108398,mild,review,0.28644493950737837,280.0,283.0,0.43220248811365897,0.5447401576248553,0.5129940502076592,0.9671851301303508,0.75,108.7060692999512,0.2.0,2026-08-07T19:31:37+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/0525/GX010074.MP4,0.4615565538406372,mild,review,0.429140239291721,460.0,463.0,0.3858964093052384,0.49041372056463434,0.4167919408838062,0.9913715857413793,0.75,145.36118414800148,0.2.0,2026-08-07T19:31:39+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/0529/GX030091.MP4,0.49659404158592224,mild,review,0.41513759295145664,460.0,463.0,0.44332390792466114,0.5501629962748746,0.37862285029601644,0.9420418929600668,0.75,154.26876982604153,0.2.0,2026-08-07T19:31:47+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/0550/GX020081.MP4,0.32171183824539185,none,accept,0.19239183002048066,260.0,263.0,0.3943662852543432,0.2778681601313138,0.406643579368374,0.8259680018801507,0.75,174.7126628140686,0.2.0,2026-08-07T19:32:07+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/0551/GX010078.MP4,0.31693151593208313,none,accept,0.21363770696851941,1040.0,1043.0,0.41389510442251864,0.24900369416818338,0.45475841433146874,0.5298128908465305,0.75,166.29940761998296,0.2.0,2026-08-07T19:32:11+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/C0541/GX010060.MP4,0.3654937446117401,mild,review,0.002194420496622761,1.7046999999999999,4.7047,0.32279739048950157,0.32312829965597883,0.4927224569926759,0.7000266012455509,0.75,6.342387491953559,0.2.0,2026-08-07T19:32:14+00:00
1.2,ok,,raw/Kalpana_Furnitures_Chennai/2026-07-18/0551/GX010080.MP4,0.35706058144569397,none,accept,0.03528630468580454,1055.2572,1058.2572,0.337388437205948,0.2967882422900432,0.5216375720816284,0.6101086579937506,0.75,169.0588364660507,0.2.0,2026-08-07T19:32:17+00:00
