key,source_uri,size_bytes,last_modified
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_502.mp4,s3://humyn-data-partners-prod/visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_502.mp4,511090865,2026-06-13 17:53:05
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_503.mp4,s3://humyn-data-partners-prod/visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_503.mp4,968350568,2026-06-13 17:53:05
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_504.mp4,s3://humyn-data-partners-prod/visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_504.mp4,484957214,2026-06-13 17:53:05
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_505.mp4,s3://humyn-data-partners-prod/visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_505.mp4,582031993,2026-06-13 17:53:05
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_506.mp4,s3://humyn-data-partners-prod/visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_506.mp4,521745613,2026-06-13 17:53:07
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_507.mp4,s3://humyn-data-partners-prod/visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_507.mp4,589720644,2026-06-13 17:53:07
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_508.mp4,s3://humyn-data-partners-prod/visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_508.mp4,533784943,2026-06-13 17:53:08
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_509.mp4,s3://humyn-data-partners-prod/visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_509.mp4,519057288,2026-06-13 17:53:08
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_510.mp4,s3://humyn-data-partners-prod/visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_510.mp4,788009358,2026-06-13 17:53:08
visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_511.mp4,s3://humyn-data-partners-prod/visionlab/visionlab/outbound/India_Ahmedabad_Mirana_AssemblyLine_004_511.mp4,913381009,2026-06-13 17:53:08
